"id","stationId","timestamp","confidence","probability","score","certainty","algorithm","metadata","lat","lon","favorite","species.id","species.commonName","species.scientificName","species.color","species.classification","species.imageUrl","species.thumbnailUrl","species.pngUrl","species.thumbhash","soundscape.id","soundscape.url","soundscape.startTime","soundscape.endTime","soundscape.mode"
6667542686,19267,"2026-04-08T01:28:57.000+02:00",0.610908687114716,0.187534660100937,6.59080315579392,"almost_certain","BirdNET",NA,51.980473,5.676805,FALSE,49,"Goldcrest","Regulus regulus","#4c42b1","avian","https://media.birdweather.com/species/49/Goldcrest-standard-71cdcf0b46d13fd889e95b4b123485dd.jpg","https://media.birdweather.com/species/49/Goldcrest-thumbnail-8b41917941250078e9bf176ff26569f3.jpg","https://media.birdweather.com/species/49/Goldcrest-png200-913696c74a004d7d06c080e4b20b429c.png","DwgGDwBMmYeHlniAbFeYZnhrWYAoBIcC",10404645409,"https://media.birdweather.com/soundscapes/19267/19267-20260407-232857.flac",0,3,"live"
6667291620,19267,"2026-04-08T01:14:42.000+02:00",0.774825632572174,0.493407756090164,8.45254385327847,"almost_certain","BirdNET",NA,51.980484,5.677255,FALSE,64,"Ring-necked Pheasant","Phasianus colchicus","#006e13","avian","https://media.birdweather.com/species/64/Ring-neckedPheasant-standard-948f6e77fa207362972fb2a6c4415064.jpg","https://media.birdweather.com/species/64/Ring-neckedPheasant-thumbnail-d97aaef0b46efbe3bc67996a716e6be6.jpg","https://media.birdweather.com/species/64/Ring-neckedPheasant-png200-9ad8c3aa66c73104c963b26e37c8e93f.png","1ggKHwJqmHiAeHd0iTaHqGh5dgmJbGAD",10404287071,"https://media.birdweather.com/soundscapes/19267/19267-20260407-231436.flac",6,9,"live"
6666905237,19267,"2026-04-08T00:53:00.500+02:00",0.728170216083527,0.916240215301514,9.14618347484639,"almost_certain","BirdNET",NA,51.980621,5.67727,FALSE,6,"European Robin","Erithacus rubecula","#93d436","avian","https://media.birdweather.com/species/6/EuropeanRobin-standard-6802f21dc9c4b056c0c15b0a4ad01a9a.jpg","https://media.birdweather.com/species/6/EuropeanRobin-thumbnail-3afd51da2d7daf4db7f4ed43af30ed2d.jpg","https://media.birdweather.com/species/6/EuropeanRobin-png200-ac96bfc6bbb72a9e2528d5544937cebd.png","YxgKFwJnWYePd3iMd5h4Z4eHp6cMG8gA",10403745636,"https://media.birdweather.com/soundscapes/19267/19267-20260407-225259.flac",1.5,4.5,"live"
6666905219,19267,"2026-04-08T00:52:59.000+02:00",0.64989709854126,0.916240215301514,8.86960553137718,"almost_certain","BirdNET",NA,51.980621,5.67727,FALSE,6,"European Robin","Erithacus rubecula","#93d436","avian","https://media.birdweather.com/species/6/EuropeanRobin-standard-6802f21dc9c4b056c0c15b0a4ad01a9a.jpg","https://media.birdweather.com/species/6/EuropeanRobin-thumbnail-3afd51da2d7daf4db7f4ed43af30ed2d.jpg","https://media.birdweather.com/species/6/EuropeanRobin-png200-ac96bfc6bbb72a9e2528d5544937cebd.png","YxgKFwJnWYePd3iMd5h4Z4eHp6cMG8gA",10403745636,"https://media.birdweather.com/soundscapes/19267/19267-20260407-225259.flac",0,3,"live"
6666805414,19267,"2026-04-08T00:47:28.000+02:00",0.671048045158386,0.0512949116528034,5.22986579699435,"almost_certain","BirdNET",NA,51.980785,5.676953,FALSE,54,"Wood Lark","Lullula arborea","#01bf70","avian","https://media.birdweather.com/species/54/WoodLark-standard-adc311dc8ae2b0030f88b32f75e05dc1.jpg","https://media.birdweather.com/species/54/WoodLark-thumbnail-feba41b19c54b4c2b4332bba47af144d.jpg","https://media.birdweather.com/species/54/WoodLark-png200-8e9cc6ee6ffd206cd704e22524d352df.png","XzkGDwKBRHeeiHigmapnqIaIfO/3pkoP",10403609886,"https://media.birdweather.com/soundscapes/19267/19267-20260407-224728.flac",0,3,"live"
6666738667,19267,"2026-04-08T00:43:59.500+02:00",0.657340347766876,0.916240990161896,8.89844459607962,"almost_certain","BirdNET",NA,51.980671,5.677208,FALSE,6,"European Robin","Erithacus rubecula","#93d436","avian","https://media.birdweather.com/species/6/EuropeanRobin-standard-6802f21dc9c4b056c0c15b0a4ad01a9a.jpg","https://media.birdweather.com/species/6/EuropeanRobin-thumbnail-3afd51da2d7daf4db7f4ed43af30ed2d.jpg","https://media.birdweather.com/species/6/EuropeanRobin-png200-ac96bfc6bbb72a9e2528d5544937cebd.png","YxgKFwJnWYePd3iMd5h4Z4eHp6cMG8gA",10403518866,"https://media.birdweather.com/soundscapes/19267/19267-20260407-224358.flac",1.5,4.5,"live"
6666631205,19267,"2026-04-08T00:38:17.000+02:00",0.779790580272675,0.618940055370331,8.77180527070745,"almost_certain","BirdNET",NA,51.980606,5.67715,FALSE,89,"European Goldfinch","Carduelis carduelis","#65dba3","avian","https://media.birdweather.com/species/89/EuropeanGoldfinch-standard-5e709d6e7011b21fe905b6d27ce94b9d.jpg","https://media.birdweather.com/species/89/EuropeanGoldfinch-thumbnail-f99916cbaf5a2c3bd8f61890d18d73c1.jpg","https://media.birdweather.com/species/89/EuropeanGoldfinch-png200-ef3fc90c8328c40b59d9ad3c4b52e850.png","lPgJDwI+UJmHq2hji4dWiHiH2XQID5UC",10403374277,"https://media.birdweather.com/soundscapes/19267/19267-20260407-223811.flac",6,9,"live"
6666631190,19267,"2026-04-08T00:38:15.500+02:00",0.967298924922943,0.618940055370331,9.2237523666823,"almost_certain","BirdNET",NA,51.980606,5.67715,FALSE,89,"European Goldfinch","Carduelis carduelis","#65dba3","avian","https://media.birdweather.com/species/89/EuropeanGoldfinch-standard-5e709d6e7011b21fe905b6d27ce94b9d.jpg","https://media.birdweather.com/species/89/EuropeanGoldfinch-thumbnail-f99916cbaf5a2c3bd8f61890d18d73c1.jpg","https://media.birdweather.com/species/89/EuropeanGoldfinch-png200-ef3fc90c8328c40b59d9ad3c4b52e850.png","lPgJDwI+UJmHq2hji4dWiHiH2XQID5UC",10403374277,"https://media.birdweather.com/soundscapes/19267/19267-20260407-223811.flac",4.5,7.5,"live"
6666451977,19267,"2026-04-08T00:28:42.500+02:00",0.810914635658264,0.2727892100811,7.76282579910866,"almost_certain","BirdNET",NA,51.98064,5.677137,FALSE,143,"Eurasian Oystercatcher","Haematopus ostralegus","#ca8600","avian","https://media.birdweather.com/species/143/EurasianOystercatcher-standard-de054f6108c9ec46b2430e18a3a05899.jpg","https://media.birdweather.com/species/143/EurasianOystercatcher-thumbnail-30dda908d192acf9a6ba366e2d58599a.jpg","https://media.birdweather.com/species/143/EurasianOystercatcher-png200-eaade4c821880831fc0130856cf4cad3.png","3vcRFwKHd4mAiHeCdth4eIeIhYD5CocK",10403135049,"https://media.birdweather.com/soundscapes/19267/19267-20260407-222838.flac",4.5,7.5,"live"
6666451950,19267,"2026-04-08T00:28:39.500+02:00",0.803274095058441,0.2727892100811,7.74218321387211,"almost_certain","BirdNET",NA,51.98064,5.677137,FALSE,143,"Eurasian Oystercatcher","Haematopus ostralegus","#ca8600","avian","https://media.birdweather.com/species/143/EurasianOystercatcher-standard-de054f6108c9ec46b2430e18a3a05899.jpg","https://media.birdweather.com/species/143/EurasianOystercatcher-thumbnail-30dda908d192acf9a6ba366e2d58599a.jpg","https://media.birdweather.com/species/143/EurasianOystercatcher-png200-eaade4c821880831fc0130856cf4cad3.png","3vcRFwKHd4mAiHeCdth4eIeIhYD5CocK",10403135049,"https://media.birdweather.com/soundscapes/19267/19267-20260407-222838.flac",1.5,4.5,"live"
6666015447,19267,"2026-04-08T00:05:44.000+02:00",0.644432425498962,0.698779761791229,8.48144349310357,"almost_certain","BirdNET",NA,51.980709,5.677143,FALSE,61,"Song Thrush","Turdus philomelos","#c20085","avian","https://media.birdweather.com/species/61/SongThrush-standard-8821482383a2449437975b6fbfa9a7f6.jpg","https://media.birdweather.com/species/61/SongThrush-thumbnail-313c4d63857e61b1b3f25e96ea42e23f.jpg","https://media.birdweather.com/species/61/SongThrush-png200-3465dc5f927896e1259256dce5b082db.png","o7kBDwSvRolEmXhKoypqeKlbk272BnsA",10402557170,"https://media.birdweather.com/soundscapes/19267/19267-20260407-220538.flac",6,9,"live"
6665687539,19267,"2026-04-07T23:48:28.000+02:00",0.681975841522217,0.698779821395874,8.62318304892611,"almost_certain","BirdNET",NA,51.980503,5.677063,FALSE,61,"Song Thrush","Turdus philomelos","#c20085","avian","https://media.birdweather.com/species/61/SongThrush-standard-8821482383a2449437975b6fbfa9a7f6.jpg","https://media.birdweather.com/species/61/SongThrush-thumbnail-313c4d63857e61b1b3f25e96ea42e23f.jpg","https://media.birdweather.com/species/61/SongThrush-png200-3465dc5f927896e1259256dce5b082db.png","o7kBDwSvRolEmXhKoypqeKlbk272BnsA",10402130075,"https://media.birdweather.com/soundscapes/19267/19267-20260407-214825.flac",3,6,"live"
6665582631,19267,"2026-04-07T23:43:20.000+02:00",0.641550362110138,0.187530770897865,6.71955054152493,"almost_certain","BirdNET",NA,51.980545,5.677176,FALSE,49,"Goldcrest","Regulus regulus","#4c42b1","avian","https://media.birdweather.com/species/49/Goldcrest-standard-71cdcf0b46d13fd889e95b4b123485dd.jpg","https://media.birdweather.com/species/49/Goldcrest-thumbnail-8b41917941250078e9bf176ff26569f3.jpg","https://media.birdweather.com/species/49/Goldcrest-png200-913696c74a004d7d06c080e4b20b429c.png","DwgGDwBMmYeHlniAbFeYZnhrWYAoBIcC",10401994925,"https://media.birdweather.com/soundscapes/19267/19267-20260407-214314.flac",6,9,"live"
6664862961,19267,"2026-04-07T23:06:03.000+02:00",0.794022858142853,0.114150702953339,6.58897371273032,"almost_certain","BirdNET",NA,51.980537,5.677153,FALSE,153,"Redwing","Turdus iliacus","#a7d386","avian","https://media.birdweather.com/species/153/Redwing-standard-ae91684833cd769f25471a15ff837acf.jpg","https://media.birdweather.com/species/153/Redwing-thumbnail-c9619e17a8a8e1f1c4939acdda7f9932.jpg","https://media.birdweather.com/species/153/Redwing-png200-900c588ec17bc5296570913adee24720.png","H+kFJwhomGePiYh4d4dmeYiWZgiYWX8D",10401060306,"https://media.birdweather.com/soundscapes/19267/19267-20260407-210600.flac",3,6,"live"
6664862954,19267,"2026-04-07T23:06:01.500+02:00",0.921132504940033,0.114150702953339,6.90265253638765,"almost_certain","BirdNET",NA,51.980537,5.677153,FALSE,153,"Redwing","Turdus iliacus","#a7d386","avian","https://media.birdweather.com/species/153/Redwing-standard-ae91684833cd769f25471a15ff837acf.jpg","https://media.birdweather.com/species/153/Redwing-thumbnail-c9619e17a8a8e1f1c4939acdda7f9932.jpg","https://media.birdweather.com/species/153/Redwing-png200-900c588ec17bc5296570913adee24720.png","H+kFJwhomGePiYh4d4dmeYiWZgiYWX8D",10401060306,"https://media.birdweather.com/soundscapes/19267/19267-20260407-210600.flac",1.5,4.5,"live"
6664488104,19267,"2026-04-07T22:46:31.500+02:00",0.893499732017517,0.0250821094959974,5.10889435021391,"almost_certain","BirdNET",NA,51.980282,5.676203,FALSE,186,"Tawny Owl","Strix aluco","#ff81c2","avian","https://media.birdweather.com/species/186/TawnyOwl-standard-a880387489a3d9307eaa5193225ffd9d.jpg","https://media.birdweather.com/species/186/TawnyOwl-thumbnail-f1a9d78408877a4e4f011b228882ac2a.jpg","https://media.birdweather.com/species/186/TawnyOwl-png200-fc157b30e3acffca0c2aeeb821667e40.png","TggKDwIIh4mUanhjmoh3eIiIWFBKBZID",10400571719,"https://media.birdweather.com/soundscapes/19267/19267-20260407-204630.flac",1.5,4.5,"live"
6664440163,19267,"2026-04-07T22:44:05.500+02:00",0.798515260219574,0.698780953884125,8.98798450417682,"almost_certain","BirdNET",NA,51.980591,5.676919,FALSE,61,"Song Thrush","Turdus philomelos","#c20085","avian","https://media.birdweather.com/species/61/SongThrush-standard-8821482383a2449437975b6fbfa9a7f6.jpg","https://media.birdweather.com/species/61/SongThrush-thumbnail-313c4d63857e61b1b3f25e96ea42e23f.jpg","https://media.birdweather.com/species/61/SongThrush-png200-3465dc5f927896e1259256dce5b082db.png","o7kBDwSvRolEmXhKoypqeKlbk272BnsA",10400509935,"https://media.birdweather.com/soundscapes/19267/19267-20260407-204401.flac",4.5,7.5,"live"
6664418670,19267,"2026-04-07T22:42:58.000+02:00",0.625346302986145,0.916245341300964,8.76994705938145,"almost_certain","BirdNET",NA,51.980598,5.676575,FALSE,6,"European Robin","Erithacus rubecula","#93d436","avian","https://media.birdweather.com/species/6/EuropeanRobin-standard-6802f21dc9c4b056c0c15b0a4ad01a9a.jpg","https://media.birdweather.com/species/6/EuropeanRobin-thumbnail-3afd51da2d7daf4db7f4ed43af30ed2d.jpg","https://media.birdweather.com/species/6/EuropeanRobin-png200-ac96bfc6bbb72a9e2528d5544937cebd.png","YxgKFwJnWYePd3iMd5h4Z4eHp6cMG8gA",10400481993,"https://media.birdweather.com/soundscapes/19267/19267-20260407-204255.flac",3,6,"live"
6662391056,19267,"2026-04-07T20:56:16.000+02:00",0.965248703956604,0.91624391078949,9.74986593810618,"almost_certain","BirdNET",NA,51.980553,5.676727,FALSE,6,"European Robin","Erithacus rubecula","#93d436","avian","https://media.birdweather.com/species/6/EuropeanRobin-standard-6802f21dc9c4b056c0c15b0a4ad01a9a.jpg","https://media.birdweather.com/species/6/EuropeanRobin-thumbnail-3afd51da2d7daf4db7f4ed43af30ed2d.jpg","https://media.birdweather.com/species/6/EuropeanRobin-png200-ac96bfc6bbb72a9e2528d5544937cebd.png","YxgKFwJnWYePd3iMd5h4Z4eHp6cMG8gA",10397804069,"https://media.birdweather.com/soundscapes/19267/19267-20260407-185613.flac",3,6,"live"
6662346816,19267,"2026-04-07T20:54:04.500+02:00",0.816346049308777,0.916244447231293,9.40273094918346,"almost_certain","BirdNET",NA,51.980625,5.676722,FALSE,6,"European Robin","Erithacus rubecula","#93d436","avian","https://media.birdweather.com/species/6/EuropeanRobin-standard-6802f21dc9c4b056c0c15b0a4ad01a9a.jpg","https://media.birdweather.com/species/6/EuropeanRobin-thumbnail-3afd51da2d7daf4db7f4ed43af30ed2d.jpg","https://media.birdweather.com/species/6/EuropeanRobin-png200-ac96bfc6bbb72a9e2528d5544937cebd.png","YxgKFwJnWYePd3iMd5h4Z4eHp6cMG8gA",10397748704,"https://media.birdweather.com/soundscapes/19267/19267-20260407-185403.flac",1.5,4.5,"live"
6662346777,19267,"2026-04-07T20:54:03.000+02:00",0.961732745170593,0.916244447231293,9.74260683381711,"almost_certain","BirdNET",NA,51.980625,5.676722,FALSE,6,"European Robin","Erithacus rubecula","#93d436","avian","https://media.birdweather.com/species/6/EuropeanRobin-standard-6802f21dc9c4b056c0c15b0a4ad01a9a.jpg","https://media.birdweather.com/species/6/EuropeanRobin-thumbnail-3afd51da2d7daf4db7f4ed43af30ed2d.jpg","https://media.birdweather.com/species/6/EuropeanRobin-png200-ac96bfc6bbb72a9e2528d5544937cebd.png","YxgKFwJnWYePd3iMd5h4Z4eHp6cMG8gA",10397748704,"https://media.birdweather.com/soundscapes/19267/19267-20260407-185403.flac",0,3,"live"
6662258958,19267,"2026-04-07T20:49:51.000+02:00",0.73530101776123,0.916245460510254,9.16881948049716,"almost_certain","BirdNET",NA,51.980701,5.676682,FALSE,6,"European Robin","Erithacus rubecula","#93d436","avian","https://media.birdweather.com/species/6/EuropeanRobin-standard-6802f21dc9c4b056c0c15b0a4ad01a9a.jpg","https://media.birdweather.com/species/6/EuropeanRobin-thumbnail-3afd51da2d7daf4db7f4ed43af30ed2d.jpg","https://media.birdweather.com/species/6/EuropeanRobin-png200-ac96bfc6bbb72a9e2528d5544937cebd.png","YxgKFwJnWYePd3iMd5h4Z4eHp6cMG8gA",10397640512,"https://media.birdweather.com/soundscapes/19267/19267-20260407-184948.flac",3,6,"live"
6662258938,19267,"2026-04-07T20:49:49.500+02:00",0.672157108783722,0.916245460510254,8.95411077058223,"almost_certain","BirdNET",NA,51.980701,5.676682,FALSE,6,"European Robin","Erithacus rubecula","#93d436","avian","https://media.birdweather.com/species/6/EuropeanRobin-standard-6802f21dc9c4b056c0c15b0a4ad01a9a.jpg","https://media.birdweather.com/species/6/EuropeanRobin-thumbnail-3afd51da2d7daf4db7f4ed43af30ed2d.jpg","https://media.birdweather.com/species/6/EuropeanRobin-png200-ac96bfc6bbb72a9e2528d5544937cebd.png","YxgKFwJnWYePd3iMd5h4Z4eHp6cMG8gA",10397640512,"https://media.birdweather.com/soundscapes/19267/19267-20260407-184948.flac",1.5,4.5,"live"
6662253801,19267,"2026-04-07T20:49:38.500+02:00",0.822399735450745,0.916245400905609,9.41870093268622,"almost_certain","BirdNET",NA,51.980701,5.676682,FALSE,6,"European Robin","Erithacus rubecula","#93d436","avian","https://media.birdweather.com/species/6/EuropeanRobin-standard-6802f21dc9c4b056c0c15b0a4ad01a9a.jpg","https://media.birdweather.com/species/6/EuropeanRobin-thumbnail-3afd51da2d7daf4db7f4ed43af30ed2d.jpg","https://media.birdweather.com/species/6/EuropeanRobin-png200-ac96bfc6bbb72a9e2528d5544937cebd.png","YxgKFwJnWYePd3iMd5h4Z4eHp6cMG8gA",10397634169,"https://media.birdweather.com/soundscapes/19267/19267-20260407-184934.flac",4.5,7.5,"live"
6662253769,19267,"2026-04-07T20:49:34.000+02:00",0.7936971783638,0.969966530799866,9.41852073101743,"almost_certain","BirdNET",NA,51.980701,5.676682,FALSE,66,"Eurasian Blue Tit","Cyanistes caeruleus","#4b8900","avian","https://media.birdweather.com/species/66/EurasianBlueTit-standard-4ec8e45d78b2908d0f41ae495ae07571.jpg","https://media.birdweather.com/species/66/EurasianBlueTit-thumbnail-4d9abc54a3abc3fb12e78e603cbe6784.jpg","https://media.birdweather.com/species/66/EurasianBlueTit-png200-49adab92304ba7a74e93ac43e38e62d3.png","EfgJBwAKhHiEm2ZheGllqXeZhi/ze3EP",10397634169,"https://media.birdweather.com/soundscapes/19267/19267-20260407-184934.flac",0,3,"live"
6662247700,19267,"2026-04-07T20:49:22.000+02:00",0.957609474658966,0.916245460510254,9.73404512747937,"almost_certain","BirdNET",NA,51.980701,5.676682,FALSE,6,"European Robin","Erithacus rubecula","#93d436","avian","https://media.birdweather.com/species/6/EuropeanRobin-standard-6802f21dc9c4b056c0c15b0a4ad01a9a.jpg","https://media.birdweather.com/species/6/EuropeanRobin-thumbnail-3afd51da2d7daf4db7f4ed43af30ed2d.jpg","https://media.birdweather.com/species/6/EuropeanRobin-png200-ac96bfc6bbb72a9e2528d5544937cebd.png","YxgKFwJnWYePd3iMd5h4Z4eHp6cMG8gA",10397626760,"https://media.birdweather.com/soundscapes/19267/19267-20260407-184916.flac",6,9,"live"
